id,description,severity,severityLevel,timeRaised,floodAreaID,county,riverOrSea
http://environment.data.gov.uk/flood-monitoring/id/floods/112WAFTUBA,Upper Bristol Avon area,Flood alert,3,2025-01-30T09:20:19,112WAFTUBA,"Gloucestershire, South Gloucestershire, Wiltshire",Bristol River Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/034WAB424,River Trent from Cromwell Weir to Gainsborough,Flood alert,3,2025-01-30T16:58:10,034WAB424,"Lincolnshire, Nottinghamshire","River Trent, River Idle"
http://environment.data.gov.uk/flood-monitoring/id/floods/034WAF428,Lower River Soar in Leicestershire,Flood alert,3,2025-01-30T16:47:51,034WAF428,"Derbyshire, Leicestershire, Nottinghamshire",River Soar
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF02Churn,River Churn and its tributaries,Warning no longer in force,4,2025-01-30T10:03:57,061WAF02Churn,"Gloucestershire, Wiltshire","River Churn, Hilcot Brook, Daglingworth Stream, Gumstool Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF14LChrwell,River Cherwell from Lower Heyford down to and including Oxford,Flood alert,3,2025-01-30T11:31:29,061WAF14LChrwell,Oxfordshire,"River Cherwell, Woodeaton Brook, Bayswater Brook, Marston Brook, Peasmoor Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF10Windrush,River Windrush from Bourton to Newbridge,Flood alert,3,2025-01-30T10:13:38,061WAF10Windrush,"Gloucestershire, Oxfordshire",River Windrush
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF12Evenlode,River Evenlode from Moreton in Marsh to Cassington and also the River Glyme at Wootton and Woodstock,Warning no longer in force,4,2025-01-30T10:03:49,061WAF12Evenlode,"Gloucestershire, Oxfordshire, Warwickshire","River Evenlode, River Glyme"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23Abingdon,River Thames for the Abingdon area,Flood alert,3,2025-01-30T11:31:52,061WAF23Abingdon,Oxfordshire,River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23Ginge,Ginge Brook,Flood alert,3,2025-01-30T11:31:32,061WAF23Ginge,Oxfordshire,Ginge Brook
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFKYM,River Kym in Bedford Borough and Cambridgeshire,Warning no longer in force,4,2025-01-30T15:57:33,052WAFKYM,"Bedford, Cambridgeshire, North Northamptonshire",River Kym
http://environment.data.gov.uk/flood-monitoring/id/floods/055FWFPNBR01,"North Bank Road alongside the River Nene, east of Peterborough and west of Dog-in-a-Doublet Sluice",Flood warning,2,2025-01-30T14:21:22,055FWFPNBR01,"Cambridgeshire, Peterborough",River Nene
http://environment.data.gov.uk/flood-monitoring/id/floods/033WAF203,River Leam and River Itchen,Warning no longer in force,4,2025-01-30T14:23:00,033WAF203,"Warwickshire, West Northamptonshire","River Leam, River Itchen"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF14RayOxon,River Ray and its tributaries from Shipton Lee to and including Islip,Flood alert,3,2025-01-30T10:57:22,061WAF14RayOxon,"Buckinghamshire, Oxfordshire","River Ray, Wootten Brook, Doddershall Brook, Tetchwick Brook, Lugershall Brook, Murswell Hill Brook, Cutters Brook, Piddington Brook, Blackthorn Brook, Panshill Brook, Studley Wood Brook, Beckley Brook, Oddington Brook, Gallos Brook, Chipping Farm Stream"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23CalcLech,River Thames and its small tributaries from Calcutt to Lechlade,Flood alert,3,2025-01-30T11:32:19,061WAF23CalcLech,"Gloucestershire, Oxfordshire, Swindon, Wiltshire","River Thames, Blunsdon Brook, Water Eaton Brook, Marston Meysey Brook, Share Ditch, Bydemill Brook, Westrop Brook, Downington Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/055WAF129TMN,Middle Nene,Flood alert,3,2025-01-30T14:12:06,055WAF129TMN,"Cambridgeshire, North Northamptonshire, Peterborough, West Northamptonshire",River Nene
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF19Thame,"River Thame, Horsenden Stream and Chalgrove Brook",Flood alert,3,2025-01-30T10:57:18,061WAF19Thame,"Buckinghamshire, Hertfordshire, Oxfordshire","River Thame, Horsenden Stream, Chalgrove Brook"
