Year,Inflation_Consumer_Prices_Annual_Percent
2005,2.29166666666659
2006,1.45112016293279
2007,0.36804684232536
2008,1.0084173681141
2009,2.55775577557747
2010,2.29283990345938
2011,1.73810460086513
2012,0.989486703772491
2013,2.51837109614213
2014,7.92204883147902
2015,6.79396706793963
2016,3.2715729463592
2017,3.42760940369314
2018,4.14892232052945
2019,4.15535171583102
2020,5.76024909185262
2021,8.06346090938833
2022,7.46178295746934
2023,4.59154929577461
2024,3.2715729463592
2025,3.4474962304662
